FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,AS,,$0,1,Transient non-community system,,,,LE FONUEA STORE - NUUULI,,09,,N,0,0,,,,,AS9900085,_____________,,,-14.263817,State Centroid,0,,,,110063335074,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LEONEVILLE - LEONE,,09,,N,0,0,,,,,AS9900064,_____________,,,-14.263817,State Centroid,0,,,,110063339711,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LIN MART - ATUU,,09,,N,0,0,,,,,AS9900092,_____________,,,-14.263817,State Centroid,0,,,,110063332497,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LIN MART - NUUULI,,09,,N,0,0,,,,,AS9900086,_____________,,,-14.263817,State Centroid,0,,,,110063336723,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LIN MART - PAGO,,09,,N,0,0,,,,,AS9900010,_____________,,,-14.263817,State Centroid,0,,,,110063362551,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LINNA MART - AMANAVE,,09,,N,0,0,,,,,AS9900079,_____________,,,-14.263817,State Centroid,0,,,,110063339720,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LT II Store - Fagatogo,,09,,N,0,0,,,,,AS9900150,_____________,,,-14.263817,State Centroid,0,,,,AS9900150,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LT STORE - FOGAGOGO,,09,,N,0,0,,,,,AS9900068,_____________,,,-14.263817,State Centroid,0,,,,110063333325,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LUCKY 7 - NUUULI,,09,,N,0,1,,,,,AS9900112,____SSSSSS___,,,-14.263817,State Centroid,0,,,,110063340610,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LYC INC  II - LELOALOA,,09,,N,0,0,,,,,AS9900008,_____________,,,-14.263817,State Centroid,0,,,,110063351340,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LYC INC - MALAEIMI,,09,,N,0,0,,,,,AS9900061,_____________,,,-14.263817,State Centroid,0,,,,110063351448,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LYC Inc II ( R ) - Leloaloa,,09,,N,0,0,,,,,AS9900140,_____________,,,-14.263817,State Centroid,0,,,,AS9900140,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LYJ Mart 1 - Taputimu,,09,,N,0,1,,,,,AS9900139,_______SS____,,,-14.263817,State Centroid,0,,,,AS9900139,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LYJ Mart 2 - Taputimu,,09,,N,0,0,,,,,AS9900138,_____________,,,-14.263817,State Centroid,0,,,,AS9900138,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,Le Nasareta - Leone,,09,,N,0,0,,,,,AS9900146,_____________,,,-14.263817,State Centroid,0,,,,AS9900146,,100000,,-170.66209
